QR;ID del paquet de bosses;ID Extern de bossa (individual);Assignat?
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129322;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129323;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129324;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129325;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129326;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129327;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129328;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129329;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129330;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129331;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129332;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129333;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129334;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129335;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129336;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129337;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129338;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129339;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149340;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149341;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149342;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149343;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149344;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149345;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149346;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149347;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149348;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149349;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149350;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149351;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149352;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149353;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149354;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149355;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149356;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149357;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149358;No
./data/QR/35RSU/GB035R004739.png;GB035R004739;802A00149359;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129340;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129341;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129342;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129343;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129344;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129345;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129346;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129347;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129348;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129349;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129350;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129351;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129352;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129353;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129354;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129355;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129356;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129357;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129358;No
./data/QR/35RSU/GB035R004740.png;GB035R004740;802A00129359;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149360;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149361;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149362;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149363;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149364;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149365;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149366;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149367;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149368;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149369;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149370;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149371;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149372;No
